Perfil,Link do perfil,Perfil Antivax ou provax?,Perfil Conspiracionista?,Perfil Negacionista?,Categoria (profissão),Categoria (profissão) do perfil?,Link do post,Conteúdo do post,Post Antivax ou provax?,Post Conspiracionista?,Post Negacionista?
drdorivalriccijr,https://www.instagram.com/drdorivalriccijr,1,1,1,Médico ciurgião geral,1,https://www.instagram.com/reel/DGDrKyXMZCo,"Formas de eliminar doses da Pfizer. No perfil do doutor temos o seguinte, inclusive: ""Síndrome pós-covid | Médico | Maringá Paraná",,,
magnomalta,https://www.instagram.com/magnomalta,1,0,1,Senador,1,https://www.instagram.com/reel/DF23okUONyJ,"Senador desmente um vídeo ""defendendo"" a posição da OMS, fingindo que ""nunca defendeu lockdowns e vacinas obrigatórias"".",,,
pidobiologia,https://www.instagram.com/pidobiologia,0,0,0,Biólogo; Professor,1,https://www.instagram.com/reel/DCFZ-WyvbXU,"Vídeo do professor Vitor Filiputti em parceria ao Ministério da Saúde (""Não houve cachê ou pagamento pelo vídeo""), desmentindo as fake news da vacina de RNAm.",,,
sin.politicosmejor,https://www.instagram.com/sin.politicosmejor?utm_source=ig_web_button_share_sheet&igsh=ZDNlZDc0MzIxNw==,1,1,1,Escritor; Produtor,1,https://www.instagram.com/p/C1DOOm_uR6Y/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,"Morte súbitas, atletas e vacinas",0,0,0
imma.gorilla,https://www.instagram.com/imma.gorilla?utm_source=ig_web_button_share_sheet&igsh=ZDNlZDc0MzIxNw==,1,1,1,,,https://www.instagram.com/p/Cl_NyZjugEi/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,Mulher de 28 anos sofre mal súbito e morre,1,1,1
frequenciahertzbrazil,https://www.instagram.com/frequenciahertzbrasil?utm_source=ig_web_button_share_sheet&igsh=ZDNlZDc0MzIxNw==,1,1,1,Criador de vídeo,,https://www.instagram.com/reel/DGePE07hXTf/?utm_source=ig_web_copy_link,Assembleia pública com médicos antivacina,0,0,0
paulahilbertcotta,https://www.instagram.com/paulahilbertcotta?utm_source=ig_web_button_share_sheet&igsh=ZDNlZDc0MzIxNw==,1,1,1,,,,,,,
777elartista,https://www.instagram.com/777elartista?utm_source=ig_web_button_share_sheet&igsh=ZDNlZDc0MzIxNw==,1,1,1,,,,,,,
,,,,,,,   https://www.instagram.com/reel/C0B7Q-vu5Kw/?utm_source=ig_web_copy_link        ,Vídeo a respeito de pandemia na China,0,0,0
,,,,,Deputado Estadual e político,1,https://www.instagram.com/reel/DGA4yWLOA3r/?utm_source=ig_web_copy_link ,Vídeo sobre a importância da vacina,0,0,0
,,,,,Ex ministro da saúde,0,https://www.instagram.com/p/DEqiwGrtg4h/,Vídeo do Eduardo Pazuello,1,0,1
,,,,,,,https://www.instagram.com/reel/DFI0zeXopvE/?utm_source=ig_web_copy_link,"Diz o título do vídeo: ""A TECNOLOGIA DE MRNA É UMA ARMA BIOLÓGICA QUE FOI CRIADA PARA FERIR E ABATER SERES HUMANOS"", com uma série de pessoas desfalecendo ao fundo, todas associadas a Pfizer.",1,1,1
,,,,,,,https://www.instagram.com/reel/DCFZ-WyvbXU/?utm_source=ig_web_copy_link,"Vídeo do professor Vitor Filiputti em parceria ao Ministério da Saúde (""Não houve cachê ou pagamento pelo vídeo""), desmentindo as fake news da vacina de RNAm",0,0,0
,,,,,,,https://www.instagram.com/p/DGYfkmryuWY/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,Cientistas descobrem síndrome rara pós vacinação,0,0,0
